Java Processes Log
iteration: 272 ; CPU: 0% ; MEM: 64.71 MB
iteration: 273 ; CPU: 0% ; MEM: 94.17 MB
iteration: 274 ; CPU: 0% ; MEM: 100.96 MB
iteration: 275 ; CPU: 0% ; MEM: 173.80 MB
iteration: 276 ; CPU: 0% ; MEM: 193.72 MB
iteration: 277 ; CPU: 8.56% ; MEM: 219.87 MB
iteration: 278 ; CPU: 10.40% ; MEM: 236.52 MB
iteration: 279 ; CPU: 11.53% ; MEM: 242.26 MB
iteration: 280 ; CPU: 12.50% ; MEM: 247.46 MB
iteration: 281 ; CPU: 14.21% ; MEM: 280.13 MB
iteration: 282 ; CPU: 8.17% ; MEM: 315.66 MB
iteration: 283 ; CPU: 9.45% ; MEM: 344.25 MB
iteration: 284 ; CPU: 10.42% ; MEM: 369.65 MB
iteration: 285 ; CPU: 11.26% ; MEM: 379.90 MB
iteration: 286 ; CPU: 12.76% ; MEM: 390.87 MB
iteration: 287 ; CPU: 9.39% ; MEM: 392.26 MB
iteration: 288 ; CPU: 10.67% ; MEM: 413.05 MB
iteration: 289 ; CPU: 11.86% ; MEM: 445.43 MB
iteration: 290 ; CPU: 12.61% ; MEM: 454.50 MB
iteration: 291 ; CPU: 13.51% ; MEM: 459.69 MB
iteration: 292 ; CPU: 14.28% ; MEM: 502.62 MB
iteration: 293 ; CPU: 11.07% ; MEM: 505.39 MB
iteration: 294 ; CPU: 11.67% ; MEM: 508.10 MB
iteration: 295 ; CPU: 12.14% ; MEM: 511.50 MB
iteration: 296 ; CPU: 12.57% ; MEM: 514.74 MB
iteration: 297 ; CPU: 13.11% ; MEM: 519.42 MB
iteration: 298 ; CPU: 10.82% ; MEM: 514.29 MB
iteration: 299 ; CPU: 11.10% ; MEM: 517.45 MB
iteration: 300 ; CPU: 11.36% ; MEM: 524.83 MB
iteration: 301 ; CPU: 11.45% ; MEM: 571.10 MB
iteration: 302 ; CPU: 11.45% ; MEM: 586.60 MB
iteration: 303 ; CPU: 11.94% ; MEM: 599.39 MB
iteration: 304 ; CPU: 13.14% ; MEM: 616.28 MB
iteration: 305 ; CPU: 14.48% ; MEM: 634.94 MB
iteration: 306 ; CPU: 16.14% ; MEM: 658.38 MB
iteration: 307 ; CPU: 17.51% ; MEM: 660.83 MB
iteration: 308 ; CPU: 19.39% ; MEM: 672.84 MB
iteration: 309 ; CPU: 14.48% ; MEM: 718.08 MB
iteration: 310 ; CPU: 15.70% ; MEM: 726.03 MB
iteration: 311 ; CPU: 16.89% ; MEM: 737.12 MB
iteration: 312 ; CPU: 17.92% ; MEM: 763.59 MB
iteration: 313 ; CPU: 18.92% ; MEM: 774.58 MB
iteration: 314 ; CPU: 15.53% ; MEM: 794.47 MB
iteration: 315 ; CPU: 16.28% ; MEM: 808.19 MB
iteration: 316 ; CPU: 16.78% ; MEM: 814.92 MB
iteration: 317 ; CPU: 17.22% ; MEM: 820.32 MB
iteration: 318 ; CPU: 17.60% ; MEM: 819.92 MB
iteration: 319 ; CPU: 14.70% ; MEM: 831.79 MB
iteration: 320 ; CPU: 15.04% ; MEM: 834.81 MB
iteration: 321 ; CPU: 15.35% ; MEM: 833.87 MB
iteration: 322 ; CPU: 15.45% ; MEM: 834.42 MB
iteration: 323 ; CPU: 15.58% ; MEM: 834.42 MB
iteration: 324 ; CPU: 13.22% ; MEM: 834.42 MB
iteration: 325 ; CPU: 13.47% ; MEM: 836.81 MB
iteration: 326 ; CPU: 13.72% ; MEM: 855.90 MB
iteration: 327 ; CPU: 13.75% ; MEM: 847.23 MB
iteration: 328 ; CPU: 13.82% ; MEM: 849.03 MB
iteration: 329 ; CPU: 13.88% ; MEM: 857.26 MB
iteration: 330 ; CPU: 12.03% ; MEM: 857.71 MB
iteration: 331 ; CPU: 12.06% ; MEM: 857.74 MB
iteration: 332 ; CPU: 12.15% ; MEM: 857.74 MB
iteration: 333 ; CPU: 12.21% ; MEM: 858.25 MB
iteration: 334 ; CPU: 12.28% ; MEM: 858.49 MB
iteration: 335 ; CPU: 10.84% ; MEM: 858.69 MB
iteration: 336 ; CPU: 10.96% ; MEM: 862.14 MB
iteration: 337 ; CPU: 10.97% ; MEM: 862.14 MB
iteration: 338 ; CPU: 11.00% ; MEM: 862.28 MB
iteration: 339 ; CPU: 11.03% ; MEM: 862.37 MB
iteration: 340 ; CPU: 9.91% ; MEM: 862.37 MB
iteration: 341 ; CPU: 9.97% ; MEM: 862.57 MB
iteration: 342 ; CPU: 10.04% ; MEM: 862.62 MB
iteration: 343 ; CPU: 10.13% ; MEM: 862.80 MB
iteration: 344 ; CPU: 10.19% ; MEM: 862.84 MB
iteration: 345 ; CPU: 10.22% ; MEM: 862.84 MB
iteration: 346 ; CPU: 9.26% ; MEM: 863.08 MB
iteration: 347 ; CPU: 9.30% ; MEM: 863.33 MB
iteration: 348 ; CPU: 9.33% ; MEM: 863.33 MB
iteration: 349 ; CPU: 9.33% ; MEM: 863.33 MB
iteration: 350 ; CPU: 9.36% ; MEM: 863.33 MB
iteration: 351 ; CPU: 8.59% ; MEM: 863.33 MB
iteration: 352 ; CPU: 8.59% ; MEM: 863.33 MB
iteration: 353 ; CPU: 8.62% ; MEM: 863.33 MB
iteration: 354 ; CPU: 8.62% ; MEM: 863.33 MB
iteration: 355 ; CPU: 8.65% ; MEM: 855.78 MB
iteration: 356 ; CPU: 8.65% ; MEM: 855.78 MB
iteration: 357 ; CPU: 8.01% ; MEM: 855.78 MB
iteration: 358 ; CPU: 8.01% ; MEM: 860.74 MB
iteration: 359 ; CPU: 8.04% ; MEM: 860.74 MB
iteration: 360 ; CPU: 8.04% ; MEM: 860.74 MB
iteration: 361 ; CPU: 8.07% ; MEM: 860.89 MB
iteration: 362 ; CPU: 7.50% ; MEM: 861.92 MB
iteration: 363 ; CPU: 7.53% ; MEM: 861.98 MB
iteration: 364 ; CPU: 7.53% ; MEM: 862.14 MB
iteration: 365 ; CPU: 7.56% ; MEM: 862.14 MB
iteration: 366 ; CPU: 7.56% ; MEM: 862.14 MB
iteration: 367 ; CPU: 7.06% ; MEM: 862.14 MB
iteration: 368 ; CPU: 7.10% ; MEM: 862.14 MB
iteration: 369 ; CPU: 7.10% ; MEM: 862.14 MB
iteration: 370 ; CPU: 7.10% ; MEM: 862.34 MB
iteration: 371 ; CPU: 7.13% ; MEM: 862.34 MB
iteration: 372 ; CPU: 7.13% ; MEM: 862.34 MB
iteration: 373 ; CPU: 6.71% ; MEM: 862.34 MB
iteration: 374 ; CPU: 6.71% ; MEM: 862.34 MB
iteration: 375 ; CPU: 6.71% ; MEM: 862.34 MB
iteration: 376 ; CPU: 6.75% ; MEM: 862.65 MB
