ROS Processes Log
iteration: 22 ; CPU: .25% ; MEM: 5.33 MB
iteration: 23 ; CPU: .28% ; MEM: 38.66 MB
iteration: 24 ; CPU: .28% ; MEM: 39.48 MB
iteration: 25 ; CPU: .28% ; MEM: 80.78 MB
iteration: 26 ; CPU: 3.34% ; MEM: 81.99 MB
iteration: 27 ; CPU: 3.43% ; MEM: 86.81 MB
iteration: 28 ; CPU: 3.50% ; MEM: 100.42 MB
iteration: 29 ; CPU: 5.98% ; MEM: 128.30 MB
iteration: 30 ; CPU: 6.10% ; MEM: 109.77 MB
iteration: 31 ; CPU: 6.21% ; MEM: 110.25 MB
iteration: 32 ; CPU: 7.16% ; MEM: 162.69 MB
iteration: 33 ; CPU: 10.44% ; MEM: 195.81 MB
iteration: 34 ; CPU: 10.51% ; MEM: 288.53 MB
iteration: 35 ; CPU: 10.53% ; MEM: 531.85 MB
iteration: 36 ; CPU: 10.55% ; MEM: 656.26 MB
iteration: 37 ; CPU: 10.56% ; MEM: 730.72 MB
iteration: 38 ; CPU: 10.62% ; MEM: 749.08 MB
iteration: 39 ; CPU: 44.67% ; MEM: 870.84 MB
iteration: 40 ; CPU: 45.34% ; MEM: 873.76 MB
iteration: 41 ; CPU: 45.96% ; MEM: 879.07 MB
iteration: 42 ; CPU: 46.56% ; MEM: 922.07 MB
iteration: 43 ; CPU: 47.06% ; MEM: 922.07 MB
iteration: 44 ; CPU: 47.41% ; MEM: 922.35 MB
iteration: 45 ; CPU: 47.96% ; MEM: 941.99 MB
iteration: 46 ; CPU: 48.50% ; MEM: 959.55 MB
iteration: 47 ; CPU: 25.87% ; MEM: 1142.44 MB
iteration: 48 ; CPU: 26.15% ; MEM: 1406.73 MB
iteration: 49 ; CPU: 26.40% ; MEM: 1618.51 MB
iteration: 50 ; CPU: 93.91% ; MEM: 1965.61 MB
iteration: 51 ; CPU: 110.64% ; MEM: 2275.26 MB
iteration: 52 ; CPU: 112.34% ; MEM: 2508.40 MB
iteration: 53 ; CPU: 114.26% ; MEM: 2590.38 MB
iteration: 54 ; CPU: 116.33% ; MEM: 2661.50 MB
iteration: 55 ; CPU: 119.00% ; MEM: 2738.42 MB
iteration: 56 ; CPU: 74.35% ; MEM: 2535.73 MB
iteration: 57 ; CPU: 69.53% ; MEM: 2478.96 MB
iteration: 58 ; CPU: 71.00% ; MEM: 2533.15 MB
iteration: 59 ; CPU: 54.58% ; MEM: 2398.64 MB
iteration: 60 ; CPU: 54.88% ; MEM: 2427.99 MB
iteration: 61 ; CPU: 55.13% ; MEM: 2434.89 MB
iteration: 62 ; CPU: 55.38% ; MEM: 2519.47 MB
iteration: 63 ; CPU: 37.95% ; MEM: 2546.53 MB
iteration: 64 ; CPU: 38.24% ; MEM: 2574.40 MB
iteration: 65 ; CPU: 38.46% ; MEM: 2632.80 MB
iteration: 66 ; CPU: 38.68% ; MEM: 2676.83 MB
iteration: 67 ; CPU: 38.87% ; MEM: 2714.13 MB
iteration: 68 ; CPU: 39.05% ; MEM: 2780.57 MB
iteration: 69 ; CPU: 39.40% ; MEM: 3018.81 MB
iteration: 70 ; CPU: 39.61% ; MEM: 3026.28 MB
iteration: 71 ; CPU: 43.47% ; MEM: 3168.61 MB
iteration: 72 ; CPU: 48.70% ; MEM: 3320.14 MB
iteration: 73 ; CPU: 49.21% ; MEM: 3410.78 MB
iteration: 74 ; CPU: 49.66% ; MEM: 3535.99 MB
iteration: 75 ; CPU: 50.14% ; MEM: 3846.75 MB
iteration: 76 ; CPU: 50.50% ; MEM: 4161.77 MB
iteration: 77 ; CPU: 92.13% ; MEM: 4434.49 MB
iteration: 78 ; CPU: 93.05% ; MEM: 4642.77 MB
iteration: 79 ; CPU: 94.00% ; MEM: 4737.84 MB
iteration: 80 ; CPU: 95.06% ; MEM: 4789.27 MB
