Java Processes Log
iteration: 333 ; CPU: 0% ; MEM: 44.51 MB
iteration: 334 ; CPU: 2.00% ; MEM: 79.98 MB
iteration: 335 ; CPU: 3.28% ; MEM: 96.64 MB
iteration: 336 ; CPU: 4.03% ; MEM: 141.57 MB
iteration: 337 ; CPU: 4.06% ; MEM: 179.49 MB
iteration: 338 ; CPU: 4.06% ; MEM: 195.75 MB
iteration: 339 ; CPU: 8.09% ; MEM: 236.44 MB
iteration: 340 ; CPU: 9.89% ; MEM: 247.94 MB
iteration: 341 ; CPU: 10.68% ; MEM: 253.82 MB
iteration: 342 ; CPU: 11.93% ; MEM: 267.82 MB
iteration: 343 ; CPU: 14.70% ; MEM: 322.27 MB
iteration: 344 ; CPU: 9.06% ; MEM: 354.40 MB
iteration: 345 ; CPU: 10.00% ; MEM: 364.51 MB
iteration: 346 ; CPU: 10.40% ; MEM: 383.54 MB
iteration: 347 ; CPU: 11.34% ; MEM: 390.44 MB
iteration: 348 ; CPU: 12.34% ; MEM: 400.83 MB
iteration: 349 ; CPU: 14.00% ; MEM: 407.72 MB
iteration: 350 ; CPU: 10.43% ; MEM: 414.09 MB
iteration: 351 ; CPU: 11.25% ; MEM: 415.87 MB
iteration: 352 ; CPU: 12.28% ; MEM: 445.44 MB
iteration: 353 ; CPU: 13.03% ; MEM: 449.62 MB
iteration: 354 ; CPU: 13.65% ; MEM: 452.58 MB
iteration: 355 ; CPU: 10.85% ; MEM: 454.65 MB
iteration: 356 ; CPU: 11.10% ; MEM: 457.44 MB
iteration: 357 ; CPU: 11.79% ; MEM: 462.32 MB
iteration: 358 ; CPU: 12.35% ; MEM: 466.19 MB
iteration: 359 ; CPU: 12.70% ; MEM: 463.51 MB
iteration: 360 ; CPU: 10.46% ; MEM: 471.47 MB
iteration: 361 ; CPU: 10.69% ; MEM: 541.47 MB
iteration: 362 ; CPU: 10.69% ; MEM: 556.76 MB
iteration: 363 ; CPU: 10.72% ; MEM: 567.41 MB
iteration: 364 ; CPU: 10.72% ; MEM: 580.64 MB
iteration: 365 ; CPU: 10.72% ; MEM: 596.51 MB
iteration: 366 ; CPU: 14.58% ; MEM: 610.14 MB
iteration: 367 ; CPU: 16.46% ; MEM: 623.30 MB
iteration: 368 ; CPU: 17.90% ; MEM: 638.46 MB
iteration: 369 ; CPU: 19.30% ; MEM: 649.76 MB
iteration: 370 ; CPU: 22.90% ; MEM: 693.81 MB
iteration: 371 ; CPU: 15.97% ; MEM: 711.69 MB
iteration: 372 ; CPU: 16.89% ; MEM: 727.27 MB
iteration: 373 ; CPU: 18.04% ; MEM: 751.76 MB
iteration: 374 ; CPU: 19.42% ; MEM: 765.62 MB
iteration: 375 ; CPU: 20.58% ; MEM: 790.38 MB
iteration: 376 ; CPU: 15.76% ; MEM: 791.19 MB
iteration: 377 ; CPU: 16.17% ; MEM: 795.76 MB
iteration: 378 ; CPU: 16.73% ; MEM: 800.51 MB
iteration: 379 ; CPU: 17.05% ; MEM: 800.62 MB
iteration: 380 ; CPU: 17.49% ; MEM: 811.60 MB
iteration: 381 ; CPU: 14.31% ; MEM: 807.73 MB
iteration: 382 ; CPU: 14.47% ; MEM: 807.80 MB
iteration: 383 ; CPU: 14.56% ; MEM: 808.10 MB
iteration: 384 ; CPU: 14.69% ; MEM: 808.17 MB
iteration: 385 ; CPU: 14.91% ; MEM: 819.74 MB
iteration: 386 ; CPU: 12.80% ; MEM: 823.12 MB
iteration: 387 ; CPU: 13.15% ; MEM: 831.21 MB
iteration: 388 ; CPU: 13.31% ; MEM: 834.21 MB
iteration: 389 ; CPU: 13.43% ; MEM: 821.01 MB
iteration: 390 ; CPU: 13.50% ; MEM: 822.23 MB
iteration: 391 ; CPU: 13.53% ; MEM: 822.31 MB
iteration: 392 ; CPU: 11.77% ; MEM: 822.42 MB
iteration: 393 ; CPU: 11.84% ; MEM: 822.80 MB
iteration: 394 ; CPU: 11.90% ; MEM: 822.80 MB
iteration: 395 ; CPU: 11.96% ; MEM: 823.05 MB
iteration: 396 ; CPU: 12.03% ; MEM: 823.83 MB
iteration: 397 ; CPU: 10.65% ; MEM: 823.83 MB
iteration: 398 ; CPU: 10.68% ; MEM: 823.83 MB
iteration: 399 ; CPU: 10.71% ; MEM: 823.83 MB
iteration: 400 ; CPU: 10.78% ; MEM: 823.83 MB
iteration: 401 ; CPU: 10.84% ; MEM: 823.83 MB
iteration: 402 ; CPU: 9.82% ; MEM: 826.15 MB
iteration: 403 ; CPU: 9.91% ; MEM: 826.92 MB
iteration: 404 ; CPU: 9.97% ; MEM: 827.29 MB
iteration: 405 ; CPU: 10.00% ; MEM: 827.35 MB
iteration: 406 ; CPU: 10.01% ; MEM: 827.35 MB
iteration: 407 ; CPU: 9.11% ; MEM: 827.60 MB
iteration: 408 ; CPU: 9.21% ; MEM: 827.86 MB
iteration: 409 ; CPU: 9.24% ; MEM: 831.25 MB
iteration: 410 ; CPU: 9.27% ; MEM: 831.27 MB
iteration: 411 ; CPU: 9.27% ; MEM: 831.53 MB
iteration: 412 ; CPU: 9.30% ; MEM: 831.53 MB
iteration: 413 ; CPU: 8.50% ; MEM: 831.53 MB
iteration: 414 ; CPU: 8.53% ; MEM: 807.23 MB
iteration: 415 ; CPU: 8.56% ; MEM: 807.23 MB
iteration: 416 ; CPU: 8.60% ; MEM: 811.79 MB
iteration: 417 ; CPU: 8.60% ; MEM: 811.79 MB
iteration: 418 ; CPU: 7.95% ; MEM: 812.12 MB
iteration: 419 ; CPU: 7.95% ; MEM: 812.12 MB
iteration: 420 ; CPU: 7.99% ; MEM: 812.12 MB
iteration: 421 ; CPU: 8.02% ; MEM: 812.12 MB
iteration: 422 ; CPU: 8.02% ; MEM: 812.35 MB
iteration: 423 ; CPU: 7.50% ; MEM: 812.35 MB
iteration: 424 ; CPU: 7.50% ; MEM: 812.35 MB
iteration: 425 ; CPU: 7.54% ; MEM: 812.35 MB
iteration: 426 ; CPU: 7.57% ; MEM: 812.35 MB
iteration: 427 ; CPU: 7.57% ; MEM: 813.20 MB
iteration: 428 ; CPU: 7.08% ; MEM: 813.20 MB
iteration: 429 ; CPU: 7.11% ; MEM: 813.33 MB
iteration: 430 ; CPU: 7.11% ; MEM: 813.33 MB
iteration: 431 ; CPU: 7.14% ; MEM: 813.45 MB
iteration: 432 ; CPU: 7.14% ; MEM: 813.45 MB
iteration: 433 ; CPU: 7.17% ; MEM: 813.45 MB
iteration: 434 ; CPU: 6.73% ; MEM: 813.45 MB
iteration: 435 ; CPU: 6.73% ; MEM: 813.45 MB
iteration: 436 ; CPU: 6.77% ; MEM: 813.45 MB
iteration: 437 ; CPU: 6.80% ; MEM: 813.45 MB
iteration: 438 ; CPU: 6.80% ; MEM: 813.45 MB
iteration: 439 ; CPU: 6.40% ; MEM: 813.45 MB
iteration: 440 ; CPU: 6.43% ; MEM: 813.45 MB
iteration: 441 ; CPU: 6.43% ; MEM: 813.45 MB
iteration: 442 ; CPU: 6.47% ; MEM: 813.45 MB
iteration: 443 ; CPU: 6.47% ; MEM: 813.45 MB
iteration: 444 ; CPU: 6.12% ; MEM: 813.45 MB
iteration: 445 ; CPU: 6.12% ; MEM: 813.45 MB
iteration: 446 ; CPU: 6.15% ; MEM: 813.45 MB
iteration: 447 ; CPU: 6.15% ; MEM: 813.45 MB
iteration: 448 ; CPU: 6.18% ; MEM: 813.45 MB
iteration: 449 ; CPU: 6.18% ; MEM: 813.45 MB
iteration: 450 ; CPU: 5.88% ; MEM: 813.45 MB
iteration: 451 ; CPU: 5.91% ; MEM: 813.45 MB
iteration: 452 ; CPU: 5.91% ; MEM: 813.45 MB
iteration: 453 ; CPU: 5.91% ; MEM: 813.55 MB
iteration: 454 ; CPU: 5.94% ; MEM: 813.55 MB
iteration: 455 ; CPU: 5.65% ; MEM: 813.55 MB
iteration: 456 ; CPU: 5.68% ; MEM: 813.55 MB
iteration: 457 ; CPU: 5.68% ; MEM: 813.55 MB
iteration: 458 ; CPU: 5.68% ; MEM: 813.55 MB
iteration: 459 ; CPU: 5.71% ; MEM: 813.55 MB
iteration: 460 ; CPU: 5.45% ; MEM: 813.55 MB
iteration: 461 ; CPU: 5.45% ; MEM: 813.55 MB
iteration: 462 ; CPU: 5.49% ; MEM: 813.55 MB
iteration: 463 ; CPU: 5.49% ; MEM: 813.55 MB
iteration: 464 ; CPU: 5.49% ; MEM: 813.55 MB
iteration: 465 ; CPU: 5.28% ; MEM: 813.55 MB
iteration: 466 ; CPU: 5.29% ; MEM: 813.60 MB
iteration: 467 ; CPU: 5.31% ; MEM: 815.14 MB
iteration: 468 ; CPU: 5.32% ; MEM: 815.14 MB
iteration: 469 ; CPU: 5.33% ; MEM: 815.19 MB
iteration: 470 ; CPU: 5.34% ; MEM: 815.24 MB
iteration: 471 ; CPU: 5.13% ; MEM: 815.24 MB
iteration: 472 ; CPU: 5.15% ; MEM: 815.24 MB
iteration: 473 ; CPU: 5.16% ; MEM: 815.24 MB
iteration: 474 ; CPU: 5.17% ; MEM: 815.24 MB
iteration: 475 ; CPU: 5.19% ; MEM: 815.24 MB
iteration: 476 ; CPU: 4.99% ; MEM: 815.28 MB
iteration: 477 ; CPU: 5.00% ; MEM: 815.28 MB
iteration: 478 ; CPU: 5.02% ; MEM: 815.28 MB
iteration: 479 ; CPU: 5.03% ; MEM: 815.28 MB
iteration: 480 ; CPU: 5.04% ; MEM: 815.28 MB
iteration: 481 ; CPU: 4.85% ; MEM: 815.38 MB
iteration: 482 ; CPU: 4.87% ; MEM: 815.38 MB
iteration: 483 ; CPU: 4.88% ; MEM: 815.38 MB
iteration: 484 ; CPU: 4.89% ; MEM: 815.38 MB
iteration: 485 ; CPU: 4.90% ; MEM: 815.38 MB
iteration: 486 ; CPU: 4.72% ; MEM: 815.60 MB
iteration: 487 ; CPU: 4.73% ; MEM: 815.60 MB
iteration: 488 ; CPU: 4.74% ; MEM: 815.60 MB
iteration: 489 ; CPU: 4.75% ; MEM: 815.60 MB
iteration: 490 ; CPU: 4.76% ; MEM: 815.68 MB
iteration: 491 ; CPU: 4.77% ; MEM: 815.68 MB
