Java Processes Log
iteration: 280 ; CPU: 0% ; MEM: 36.33 
iteration: 281 ; CPU: 0% ; MEM: 71.00 
iteration: 282 ; CPU: 0% ; MEM: 98.00 
iteration: 283 ; CPU: 4.43% ; MEM: 103.93 
iteration: 284 ; CPU: 4.56% ; MEM: 170.11 
iteration: 285 ; CPU: 4.59% ; MEM: 189.65 
iteration: 286 ; CPU: 4.59% ; MEM: 220.28 
iteration: 287 ; CPU: 4.59% ; MEM: 241.98 
iteration: 288 ; CPU: 9.90% ; MEM: 243.02 
iteration: 289 ; CPU: 10.78% ; MEM: 247.52 
iteration: 290 ; CPU: 12.76% ; MEM: 289.35 
iteration: 291 ; CPU: 16.64% ; MEM: 362.67 
iteration: 292 ; CPU: 18.54% ; MEM: 383.76 
iteration: 293 ; CPU: 10.25% ; MEM: 400.96 
iteration: 294 ; CPU: 10.94% ; MEM: 406.00 
iteration: 295 ; CPU: 12.00% ; MEM: 418.67 
iteration: 296 ; CPU: 13.48% ; MEM: 423.00 
iteration: 297 ; CPU: 15.30% ; MEM: 429.51 
iteration: 298 ; CPU: 16.92% ; MEM: 436.85 
iteration: 299 ; CPU: 12.43% ; MEM: 445.17 
iteration: 300 ; CPU: 13.06% ; MEM: 486.64 
iteration: 301 ; CPU: 13.53% ; MEM: 492.16 
iteration: 302 ; CPU: 14.35% ; MEM: 494.93 
iteration: 303 ; CPU: 15.45% ; MEM: 497.87 
iteration: 304 ; CPU: 11.90% ; MEM: 500.41 
iteration: 305 ; CPU: 12.53% ; MEM: 505.14 
iteration: 306 ; CPU: 12.96% ; MEM: 507.06 
iteration: 307 ; CPU: 13.25% ; MEM: 508.18 
iteration: 308 ; CPU: 13.62% ; MEM: 514.25 
iteration: 309 ; CPU: 13.94% ; MEM: 526.99 
iteration: 310 ; CPU: 11.18% ; MEM: 586.16 
iteration: 311 ; CPU: 11.18% ; MEM: 586.98 
iteration: 312 ; CPU: 11.18% ; MEM: 599.63 
iteration: 313 ; CPU: 11.18% ; MEM: 613.83 
iteration: 314 ; CPU: 11.19% ; MEM: 631.42 
iteration: 315 ; CPU: 16.04% ; MEM: 660.55 
iteration: 316 ; CPU: 17.45% ; MEM: 657.89 
iteration: 317 ; CPU: 19.04% ; MEM: 670.21 
iteration: 318 ; CPU: 21.48% ; MEM: 697.28 
iteration: 319 ; CPU: 24.98% ; MEM: 731.94 
iteration: 320 ; CPU: 16.70% ; MEM: 742.30 
iteration: 321 ; CPU: 17.80% ; MEM: 773.41 
iteration: 322 ; CPU: 19.27% ; MEM: 784.21 
iteration: 323 ; CPU: 20.70% ; MEM: 798.00 
iteration: 324 ; CPU: 21.70% ; MEM: 810.51 
iteration: 325 ; CPU: 16.42% ; MEM: 811.79 
iteration: 326 ; CPU: 16.76% ; MEM: 821.15 
iteration: 327 ; CPU: 17.17% ; MEM: 815.63 
iteration: 328 ; CPU: 17.64% ; MEM: 821.64 
iteration: 329 ; CPU: 17.95% ; MEM: 822.53 
iteration: 330 ; CPU: 14.65% ; MEM: 818.28 
iteration: 331 ; CPU: 14.74% ; MEM: 818.79 
iteration: 332 ; CPU: 14.90% ; MEM: 818.81 
iteration: 333 ; CPU: 15.06% ; MEM: 830.28 
iteration: 334 ; CPU: 15.43% ; MEM: 836.64 
iteration: 335 ; CPU: 13.04% ; MEM: 838.78 
iteration: 336 ; CPU: 13.14% ; MEM: 839.55 
iteration: 337 ; CPU: 13.20% ; MEM: 834.91 
iteration: 338 ; CPU: 13.29% ; MEM: 834.98 
iteration: 339 ; CPU: 13.35% ; MEM: 835.77 
iteration: 340 ; CPU: 13.45% ; MEM: 836.06 
iteration: 341 ; CPU: 11.73% ; MEM: 836.06 
iteration: 342 ; CPU: 11.76% ; MEM: 836.58 
iteration: 343 ; CPU: 11.82% ; MEM: 836.60 
iteration: 344 ; CPU: 11.91% ; MEM: 836.60 
iteration: 345 ; CPU: 11.95% ; MEM: 836.62 
iteration: 346 ; CPU: 10.60% ; MEM: 836.87 
iteration: 347 ; CPU: 10.66% ; MEM: 836.92 
iteration: 348 ; CPU: 10.73% ; MEM: 836.92 
iteration: 349 ; CPU: 10.82% ; MEM: 838.21 
iteration: 350 ; CPU: 10.91% ; MEM: 834.59 
iteration: 351 ; CPU: 9.85% ; MEM: 838.97 
iteration: 352 ; CPU: 9.95% ; MEM: 839.73 
iteration: 353 ; CPU: 9.98% ; MEM: 839.78 
iteration: 354 ; CPU: 10.01% ; MEM: 839.85 
iteration: 355 ; CPU: 10.05% ; MEM: 839.85 
iteration: 356 ; CPU: 9.18% ; MEM: 839.85 
iteration: 357 ; CPU: 9.21% ; MEM: 841.66 
iteration: 358 ; CPU: 9.24% ; MEM: 841.66 
iteration: 359 ; CPU: 9.27% ; MEM: 841.66 
iteration: 360 ; CPU: 9.28% ; MEM: 841.66 
iteration: 361 ; CPU: 9.31% ; MEM: 841.66 
iteration: 362 ; CPU: 8.54% ; MEM: 831.91 
iteration: 363 ; CPU: 8.54% ; MEM: 831.91 
iteration: 364 ; CPU: 8.57% ; MEM: 831.91 
iteration: 365 ; CPU: 8.57% ; MEM: 831.91 
iteration: 366 ; CPU: 8.60% ; MEM: 837.16 
iteration: 367 ; CPU: 7.92% ; MEM: 837.16 
iteration: 368 ; CPU: 7.95% ; MEM: 837.16 
iteration: 369 ; CPU: 7.95% ; MEM: 837.38 
iteration: 370 ; CPU: 7.99% ; MEM: 837.38 
iteration: 371 ; CPU: 7.99% ; MEM: 837.38 
iteration: 372 ; CPU: 7.45% ; MEM: 837.38 
iteration: 373 ; CPU: 7.45% ; MEM: 837.38 
