ROS Processes Log
iteration: 25 ; CPU: .28% ; MEM: 27.04 MB
iteration: 26 ; CPU: .46% ; MEM: 30.35 MB
iteration: 27 ; CPU: .53% ; MEM: 61.04 MB
iteration: 28 ; CPU: 3.68% ; MEM: 68.59 MB
iteration: 29 ; CPU: 3.75% ; MEM: 81.36 MB
iteration: 30 ; CPU: 3.76% ; MEM: 90.55 MB
iteration: 31 ; CPU: 6.22% ; MEM: 120.60 MB
iteration: 32 ; CPU: 6.37% ; MEM: 109.70 MB
iteration: 33 ; CPU: 6.50% ; MEM: 157.46 MB
iteration: 34 ; CPU: 16.95% ; MEM: 193.42 MB
iteration: 35 ; CPU: 17.27% ; MEM: 223.77 MB
iteration: 36 ; CPU: 17.41% ; MEM: 378.23 MB
iteration: 37 ; CPU: 17.45% ; MEM: 642.53 MB
iteration: 38 ; CPU: 17.45% ; MEM: 721.61 MB
iteration: 39 ; CPU: 17.45% ; MEM: 845.17 MB
iteration: 40 ; CPU: 17.48% ; MEM: 880.28 MB
iteration: 41 ; CPU: 33.86% ; MEM: 916.71 MB
iteration: 42 ; CPU: 34.36% ; MEM: 923.01 MB
iteration: 43 ; CPU: 34.78% ; MEM: 923.01 MB
iteration: 44 ; CPU: 35.28% ; MEM: 923.02 MB
iteration: 45 ; CPU: 35.71% ; MEM: 923.90 MB
iteration: 46 ; CPU: 35.92% ; MEM: 925.57 MB
iteration: 47 ; CPU: 36.48% ; MEM: 959.88 MB
iteration: 48 ; CPU: 37.12% ; MEM: 1010.53 MB
iteration: 49 ; CPU: 27.19% ; MEM: 1145.91 MB
iteration: 50 ; CPU: 42.02% ; MEM: 1304.67 MB
iteration: 51 ; CPU: 45.67% ; MEM: 1518.19 MB
iteration: 52 ; CPU: 46.15% ; MEM: 1823.97 MB
iteration: 53 ; CPU: 104.51% ; MEM: 2224.54 MB
iteration: 54 ; CPU: 106.92% ; MEM: 2418.10 MB
iteration: 55 ; CPU: 107.32% ; MEM: 2548.54 MB
iteration: 56 ; CPU: 107.83% ; MEM: 2636.51 MB
iteration: 57 ; CPU: 108.70% ; MEM: 2693.37 MB
iteration: 58 ; CPU: 104.03% ; MEM: 2752.43 MB
iteration: 59 ; CPU: 69.09% ; MEM: 2775.59 MB
iteration: 60 ; CPU: 71.91% ; MEM: 2781.69 MB
iteration: 61 ; CPU: 57.08% ; MEM: 2645.53 MB
