ROS Processes Log
iteration: 16 ; CPU: .28% ; MEM: 17.71 
iteration: 17 ; CPU: .40% ; MEM: 36.87 
iteration: 18 ; CPU: .43% ; MEM: 58.35 
iteration: 19 ; CPU: 4.98% ; MEM: 61.96 
iteration: 20 ; CPU: 5.06% ; MEM: 82.90 
iteration: 21 ; CPU: 5.10% ; MEM: 113.08 
iteration: 22 ; CPU: 6.00% ; MEM: 121.01 
iteration: 23 ; CPU: 6.09% ; MEM: 109.46 
iteration: 24 ; CPU: 6.22% ; MEM: 120.64 
iteration: 25 ; CPU: 12.32% ; MEM: 190.94 
iteration: 26 ; CPU: 16.74% ; MEM: 197.05 
iteration: 27 ; CPU: 16.94% ; MEM: 301.12 
iteration: 28 ; CPU: 16.94% ; MEM: 567.98 
iteration: 29 ; CPU: 16.96% ; MEM: 675.70 
iteration: 30 ; CPU: 16.97% ; MEM: 728.84 
iteration: 31 ; CPU: 16.99% ; MEM: 816.34 
iteration: 32 ; CPU: 17.02% ; MEM: 873.30 
iteration: 33 ; CPU: 35.17% ; MEM: 878.80 
iteration: 34 ; CPU: 35.80% ; MEM: 922.10 
iteration: 35 ; CPU: 36.27% ; MEM: 922.10 
iteration: 36 ; CPU: 36.68% ; MEM: 922.71 
iteration: 37 ; CPU: 37.00% ; MEM: 922.71 
iteration: 38 ; CPU: 37.52% ; MEM: 950.23 
iteration: 39 ; CPU: 38.08% ; MEM: 972.21 
iteration: 40 ; CPU: 21.21% ; MEM: 1007.75 
iteration: 41 ; CPU: 21.50% ; MEM: 1083.00 
iteration: 42 ; CPU: 21.68% ; MEM: 1255.15 
iteration: 43 ; CPU: 21.81% ; MEM: 1497.91 
iteration: 44 ; CPU: 93.32% ; MEM: 1904.74 
iteration: 45 ; CPU: 114.26% ; MEM: 2286.48 
iteration: 46 ; CPU: 116.72% ; MEM: 2598.32 
iteration: 47 ; CPU: 113.16% ; MEM: 2628.88 
iteration: 48 ; CPU: 113.52% ; MEM: 2681.62 
iteration: 49 ; CPU: 114.20% ; MEM: 2776.16 
iteration: 50 ; CPU: 76.77% ; MEM: 2790.62 
iteration: 51 ; CPU: 79.66% ; MEM: 2859.42 
iteration: 52 ; CPU: 45.72% ; MEM: 2394.43 
iteration: 53 ; CPU: 46.02% ; MEM: 2429.44 
iteration: 54 ; CPU: 46.42% ; MEM: 2431.88 
iteration: 55 ; CPU: 46.65% ; MEM: 2516.37 
iteration: 56 ; CPU: 46.92% ; MEM: 2538.48 
iteration: 57 ; CPU: 47.35% ; MEM: 2545.48 
iteration: 58 ; CPU: 34.28% ; MEM: 2631.22 
iteration: 59 ; CPU: 34.55% ; MEM: 2656.31 
iteration: 60 ; CPU: 34.90% ; MEM: 2658.63 
iteration: 61 ; CPU: 35.28% ; MEM: 2745.08 
iteration: 62 ; CPU: 35.60% ; MEM: 2805.70 
iteration: 63 ; CPU: 35.88% ; MEM: 2881.60 
iteration: 64 ; CPU: 36.21% ; MEM: 3199.44 
iteration: 65 ; CPU: 63.38% ; MEM: 3280.91 
iteration: 66 ; CPU: 64.21% ; MEM: 3772.48 
iteration: 67 ; CPU: 65.04% ; MEM: 3849.08 
iteration: 68 ; CPU: 65.79% ; MEM: 3990.24 
iteration: 69 ; CPU: 66.40% ; MEM: 4098.48 
iteration: 70 ; CPU: 66.85% ; MEM: 4151.78 
iteration: 71 ; CPU: 81.17% ; MEM: 4390.09 
iteration: 72 ; CPU: 81.55% ; MEM: 4396.46 
iteration: 73 ; CPU: 81.72% ; MEM: 4455.00 
iteration: 74 ; CPU: 82.17% ; MEM: 4502.84 
iteration: 75 ; CPU: 83.05% ; MEM: 4617.12 
iteration: 76 ; CPU: 83.73% ; MEM: 4887.76 
iteration: 77 ; CPU: 84.28% ; MEM: 5132.05 
iteration: 78 ; CPU: 81.55% ; MEM: 5270.95 
iteration: 79 ; CPU: 82.52% ; MEM: 5348.44 
iteration: 80 ; CPU: 83.40% ; MEM: 5410.90 
iteration: 81 ; CPU: 84.35% ; MEM: 5414.75 
iteration: 82 ; CPU: 84.95% ; MEM: 5548.17 
iteration: 83 ; CPU: 86.01% ; MEM: 5623.96 
iteration: 84 ; CPU: 87.80% ; MEM: 5841.04 
iteration: 85 ; CPU: 88.77% ; MEM: 6132.93 
iteration: 86 ; CPU: 89.70% ; MEM: 6209.91 
iteration: 87 ; CPU: 90.59% ; MEM: 6266.94 
iteration: 88 ; CPU: 91.51% ; MEM: 6314.86 
