Java Processes Log
iteration: 342 ; CPU: 0% ; MEM: 75.76 
iteration: 343 ; CPU: 0% ; MEM: 96.07 
iteration: 344 ; CPU: 0% ; MEM: 154.31 
iteration: 345 ; CPU: 5.28% ; MEM: 198.51 
iteration: 346 ; CPU: 7.46% ; MEM: 227.07 
iteration: 347 ; CPU: 8.65% ; MEM: 242.14 
iteration: 348 ; CPU: 9.59% ; MEM: 249.35 
iteration: 349 ; CPU: 11.78% ; MEM: 328.73 
iteration: 350 ; CPU: 14.43% ; MEM: 372.57 
iteration: 351 ; CPU: 7.85% ; MEM: 393.98 
iteration: 352 ; CPU: 8.42% ; MEM: 415.48 
iteration: 353 ; CPU: 9.56% ; MEM: 426.86 
iteration: 354 ; CPU: 11.00% ; MEM: 438.62 
iteration: 355 ; CPU: 12.75% ; MEM: 445.69 
iteration: 356 ; CPU: 14.34% ; MEM: 453.00 
iteration: 357 ; CPU: 15.39% ; MEM: 483.39 
iteration: 358 ; CPU: 10.81% ; MEM: 487.00 
iteration: 359 ; CPU: 11.43% ; MEM: 488.82 
iteration: 360 ; CPU: 11.75% ; MEM: 491.29 
iteration: 361 ; CPU: 12.47% ; MEM: 494.33 
iteration: 362 ; CPU: 13.00% ; MEM: 498.02 
iteration: 363 ; CPU: 13.63% ; MEM: 512.24 
iteration: 364 ; CPU: 13.82% ; MEM: 596.44 
iteration: 365 ; CPU: 11.85% ; MEM: 612.92 
iteration: 366 ; CPU: 12.76% ; MEM: 630.02 
iteration: 367 ; CPU: 14.08% ; MEM: 655.97 
iteration: 368 ; CPU: 15.30% ; MEM: 674.98 
iteration: 369 ; CPU: 16.77% ; MEM: 686.41 
iteration: 370 ; CPU: 19.77% ; MEM: 753.55 
iteration: 371 ; CPU: 14.29% ; MEM: 773.61 
iteration: 372 ; CPU: 14.60% ; MEM: 776.97 
iteration: 373 ; CPU: 15.91% ; MEM: 809.71 
iteration: 374 ; CPU: 17.20% ; MEM: 816.31 
iteration: 375 ; CPU: 17.48% ; MEM: 829.99 
iteration: 376 ; CPU: 17.73% ; MEM: 835.87 
iteration: 377 ; CPU: 18.04% ; MEM: 842.11 
iteration: 378 ; CPU: 13.68% ; MEM: 814.28 
iteration: 379 ; CPU: 13.96% ; MEM: 826.46 
iteration: 380 ; CPU: 14.15% ; MEM: 828.89 
iteration: 381 ; CPU: 14.21% ; MEM: 828.89 
iteration: 382 ; CPU: 14.31% ; MEM: 830.59 
iteration: 383 ; CPU: 14.37% ; MEM: 830.59 
iteration: 384 ; CPU: 14.46% ; MEM: 830.94 
iteration: 385 ; CPU: 11.85% ; MEM: 832.34 
iteration: 386 ; CPU: 12.04% ; MEM: 834.21 
iteration: 387 ; CPU: 12.17% ; MEM: 834.30 
iteration: 388 ; CPU: 12.26% ; MEM: 834.62 
iteration: 389 ; CPU: 12.39% ; MEM: 834.62 
iteration: 390 ; CPU: 12.60% ; MEM: 835.58 
iteration: 391 ; CPU: 12.67% ; MEM: 835.65 
iteration: 392 ; CPU: 10.61% ; MEM: 851.16 
iteration: 393 ; CPU: 10.67% ; MEM: 851.22 
iteration: 394 ; CPU: 10.70% ; MEM: 851.22 
iteration: 395 ; CPU: 10.74% ; MEM: 851.31 
iteration: 396 ; CPU: 10.83% ; MEM: 851.34 
iteration: 397 ; CPU: 10.83% ; MEM: 851.34 
iteration: 398 ; CPU: 10.86% ; MEM: 847.00 
iteration: 399 ; CPU: 9.38% ; MEM: 847.00 
iteration: 400 ; CPU: 9.41% ; MEM: 848.67 
iteration: 401 ; CPU: 9.44% ; MEM: 848.67 
iteration: 402 ; CPU: 9.47% ; MEM: 848.67 
iteration: 403 ; CPU: 9.47% ; MEM: 848.67 
iteration: 404 ; CPU: 9.53% ; MEM: 848.67 
iteration: 405 ; CPU: 8.40% ; MEM: 857.43 
iteration: 406 ; CPU: 8.50% ; MEM: 858.98 
iteration: 407 ; CPU: 8.56% ; MEM: 859.37 
iteration: 408 ; CPU: 8.56% ; MEM: 859.37 
iteration: 409 ; CPU: 8.59% ; MEM: 859.37 
iteration: 410 ; CPU: 8.59% ; MEM: 859.37 
iteration: 411 ; CPU: 8.62% ; MEM: 859.37 
iteration: 412 ; CPU: 7.71% ; MEM: 859.37 
iteration: 413 ; CPU: 7.75% ; MEM: 859.37 
iteration: 414 ; CPU: 7.75% ; MEM: 859.37 
iteration: 415 ; CPU: 7.78% ; MEM: 859.35 
iteration: 416 ; CPU: 7.78% ; MEM: 859.35 
iteration: 417 ; CPU: 7.78% ; MEM: 859.35 
iteration: 418 ; CPU: 7.81% ; MEM: 859.35 
iteration: 419 ; CPU: 7.06% ; MEM: 859.35 
iteration: 420 ; CPU: 7.06% ; MEM: 859.35 
iteration: 421 ; CPU: 7.10% ; MEM: 859.35 
iteration: 422 ; CPU: 7.10% ; MEM: 859.35 
iteration: 423 ; CPU: 7.13% ; MEM: 859.35 
iteration: 424 ; CPU: 7.13% ; MEM: 859.35 
iteration: 425 ; CPU: 7.13% ; MEM: 859.49 
iteration: 426 ; CPU: 6.53% ; MEM: 865.27 
iteration: 427 ; CPU: 6.56% ; MEM: 867.06 
iteration: 428 ; CPU: 6.56% ; MEM: 867.14 
iteration: 429 ; CPU: 6.56% ; MEM: 867.14 
iteration: 430 ; CPU: 6.59% ; MEM: 867.14 
iteration: 431 ; CPU: 6.60% ; MEM: 867.14 
iteration: 432 ; CPU: 6.63% ; MEM: 867.14 
iteration: 433 ; CPU: 6.09% ; MEM: 867.14 
iteration: 434 ; CPU: 6.11% ; MEM: 867.14 
iteration: 435 ; CPU: 6.11% ; MEM: 867.20 
iteration: 436 ; CPU: 6.11% ; MEM: 867.20 
iteration: 437 ; CPU: 6.11% ; MEM: 867.20 
iteration: 438 ; CPU: 6.15% ; MEM: 867.20 
iteration: 439 ; CPU: 6.15% ; MEM: 867.20 
iteration: 440 ; CPU: 5.70% ; MEM: 867.20 
iteration: 441 ; CPU: 5.71% ; MEM: 867.20 
iteration: 442 ; CPU: 5.72% ; MEM: 867.32 
iteration: 443 ; CPU: 5.73% ; MEM: 867.32 
iteration: 444 ; CPU: 5.74% ; MEM: 867.32 
iteration: 445 ; CPU: 5.75% ; MEM: 867.32 
iteration: 446 ; CPU: 5.76% ; MEM: 867.53 
iteration: 447 ; CPU: 5.37% ; MEM: 867.53 
iteration: 448 ; CPU: 5.38% ; MEM: 867.53 
iteration: 449 ; CPU: 5.39% ; MEM: 867.53 
iteration: 450 ; CPU: 5.40% ; MEM: 867.53 
iteration: 451 ; CPU: 5.40% ; MEM: 867.53 
iteration: 452 ; CPU: 5.41% ; MEM: 867.53 
iteration: 453 ; CPU: 5.07% ; MEM: 867.66 
iteration: 454 ; CPU: 5.07% ; MEM: 867.66 
