ROS Processes Log
iteration: 22 ; CPU: .28% ; MEM: .60 
iteration: 23 ; CPU: .28% ; MEM: 16.34 
iteration: 24 ; CPU: 0% ; MEM: 55.32 
iteration: 25 ; CPU: 0% ; MEM: 45.99 
iteration: 26 ; CPU: 3.43% ; MEM: 61.47 
iteration: 27 ; CPU: 3.25% ; MEM: 69.32 
iteration: 28 ; CPU: 3.31% ; MEM: 107.98 
iteration: 29 ; CPU: 3.31% ; MEM: 108.48 
iteration: 30 ; CPU: 3.31% ; MEM: 150.47 
iteration: 31 ; CPU: 29.54% ; MEM: 195.70 
iteration: 32 ; CPU: 29.67% ; MEM: 278.75 
iteration: 33 ; CPU: 29.76% ; MEM: 529.65 
iteration: 34 ; CPU: 29.89% ; MEM: 613.53 
iteration: 35 ; CPU: 29.98% ; MEM: 728.71 
iteration: 36 ; CPU: 29.98% ; MEM: 769.88 
iteration: 37 ; CPU: 30.04% ; MEM: 871.20 
iteration: 38 ; CPU: 42.03% ; MEM: 871.43 
iteration: 39 ; CPU: 42.69% ; MEM: 876.57 
iteration: 40 ; CPU: 43.34% ; MEM: 919.57 
iteration: 41 ; CPU: 43.75% ; MEM: 919.57 
iteration: 42 ; CPU: 44.17% ; MEM: 919.57 
iteration: 43 ; CPU: 44.55% ; MEM: 933.61 
iteration: 44 ; CPU: 45.17% ; MEM: 963.26 
iteration: 45 ; CPU: 45.67% ; MEM: 1007.03 
iteration: 46 ; CPU: 32.53% ; MEM: 1127.57 
iteration: 47 ; CPU: 38.21% ; MEM: 1225.70 
iteration: 48 ; CPU: 38.57% ; MEM: 1300.51 
iteration: 49 ; CPU: 38.60% ; MEM: 1335.60 
iteration: 50 ; CPU: 38.75% ; MEM: 1355.00 
iteration: 51 ; CPU: 38.89% ; MEM: 1438.09 
iteration: 52 ; CPU: 39.00% ; MEM: 1538.99 
iteration: 53 ; CPU: 75.30% ; MEM: 1693.85 
iteration: 54 ; CPU: 79.68% ; MEM: 1838.91 
iteration: 55 ; CPU: 80.20% ; MEM: 1950.43 
iteration: 56 ; CPU: 80.79% ; MEM: 2012.76 
iteration: 57 ; CPU: 75.69% ; MEM: 2025.51 
iteration: 58 ; CPU: 76.24% ; MEM: 2060.03 
iteration: 59 ; CPU: 77.71% ; MEM: 2121.38 
iteration: 60 ; CPU: 48.39% ; MEM: 1910.60 
iteration: 61 ; CPU: 31.50% ; MEM: 1946.69 
iteration: 62 ; CPU: 31.76% ; MEM: 1979.89 
iteration: 63 ; CPU: 32.00% ; MEM: 2019.02 
iteration: 64 ; CPU: 32.22% ; MEM: 2056.34 
iteration: 65 ; CPU: 32.42% ; MEM: 2079.92 
iteration: 66 ; CPU: 32.76% ; MEM: 2113.68 
iteration: 67 ; CPU: 33.02% ; MEM: 2171.38 
iteration: 68 ; CPU: 33.25% ; MEM: 2188.62 
iteration: 69 ; CPU: 25.49% ; MEM: 2227.02 
iteration: 70 ; CPU: 25.91% ; MEM: 2461.19 
iteration: 71 ; CPU: 26.35% ; MEM: 2717.43 
iteration: 72 ; CPU: 26.65% ; MEM: 2994.35 
iteration: 73 ; CPU: 26.91% ; MEM: 3028.51 
iteration: 74 ; CPU: 27.21% ; MEM: 3033.18 
iteration: 75 ; CPU: 54.41% ; MEM: 3083.53 
iteration: 76 ; CPU: 55.01% ; MEM: 3193.62 
iteration: 77 ; CPU: 55.41% ; MEM: 3259.14 
iteration: 78 ; CPU: 55.78% ; MEM: 3515.94 
iteration: 79 ; CPU: 56.10% ; MEM: 3746.04 
iteration: 80 ; CPU: 56.61% ; MEM: 3998.48 
iteration: 81 ; CPU: 82.25% ; MEM: 4057.76 
iteration: 82 ; CPU: 89.68% ; MEM: 4121.73 
iteration: 83 ; CPU: 91.80% ; MEM: 4148.23 
iteration: 84 ; CPU: 92.59% ; MEM: 4366.74 
iteration: 85 ; CPU: 93.05% ; MEM: 4404.83 
iteration: 86 ; CPU: 93.58% ; MEM: 4407.62 
iteration: 87 ; CPU: 94.29% ; MEM: 4418.60 
iteration: 88 ; CPU: 70.03% ; MEM: 4443.85 
iteration: 89 ; CPU: 70.65% ; MEM: 4460.42 
iteration: 90 ; CPU: 71.07% ; MEM: 4471.52 
iteration: 91 ; CPU: 71.53% ; MEM: 4472.30 
iteration: 92 ; CPU: 72.05% ; MEM: 4472.81 
iteration: 93 ; CPU: 72.69% ; MEM: 4486.94 
iteration: 94 ; CPU: 73.20% ; MEM: 4487.80 
iteration: 95 ; CPU: 73.74% ; MEM: 4492.95 
iteration: 96 ; CPU: 52.60% ; MEM: 4497.09 
iteration: 97 ; CPU: 52.98% ; MEM: 4497.34 
iteration: 98 ; CPU: 53.36% ; MEM: 4497.60 
iteration: 99 ; CPU: 53.64% ; MEM: 4497.86 
iteration: 100 ; CPU: 54.06% ; MEM: 4497.86 
iteration: 101 ; CPU: 54.40% ; MEM: 4497.86 
iteration: 102 ; CPU: 54.80% ; MEM: 4502.71 
iteration: 103 ; CPU: 43.88% ; MEM: 4508.36 
iteration: 104 ; CPU: 44.25% ; MEM: 4516.63 
iteration: 105 ; CPU: 44.66% ; MEM: 4522.01 
iteration: 106 ; CPU: 45.08% ; MEM: 4527.27 
iteration: 107 ; CPU: 45.55% ; MEM: 4528.30 
iteration: 108 ; CPU: 45.95% ; MEM: 4534.54 
iteration: 109 ; CPU: 46.38% ; MEM: 4535.08 
iteration: 110 ; CPU: 39.31% ; MEM: 4539.36 
iteration: 111 ; CPU: 39.87% ; MEM: 4555.13 
iteration: 112 ; CPU: 40.28% ; MEM: 4587.96 
iteration: 113 ; CPU: 40.70% ; MEM: 4588.73 
iteration: 114 ; CPU: 41.18% ; MEM: 4588.73 
iteration: 115 ; CPU: 41.85% ; MEM: 4588.74 
iteration: 116 ; CPU: 42.40% ; MEM: 4590.29 
iteration: 117 ; CPU: 42.90% ; MEM: 4595.99 
iteration: 118 ; CPU: 37.51% ; MEM: 4599.62 
iteration: 119 ; CPU: 38.05% ; MEM: 4646.17 
iteration: 120 ; CPU: 38.60% ; MEM: 4758.12 
iteration: 121 ; CPU: 39.09% ; MEM: 4770.44 
iteration: 122 ; CPU: 39.54% ; MEM: 4775.64 
iteration: 123 ; CPU: 39.94% ; MEM: 4776.42 
iteration: 124 ; CPU: 60.90% ; MEM: 4776.42 
iteration: 125 ; CPU: 62.94% ; MEM: 4790.82 
iteration: 126 ; CPU: 36.36% ; MEM: 4652.32 
iteration: 127 ; CPU: 36.72% ; MEM: 4660.03 
iteration: 128 ; CPU: 37.12% ; MEM: 4697.76 
iteration: 129 ; CPU: 37.54% ; MEM: 4704.40 
iteration: 130 ; CPU: 37.97% ; MEM: 4705.14 
iteration: 131 ; CPU: 47.99% ; MEM: 4705.22 
iteration: 132 ; CPU: 40.98% ; MEM: 4670.14 
iteration: 133 ; CPU: 41.56% ; MEM: 4674.03 
iteration: 134 ; CPU: 35.54% ; MEM: 4633.64 
iteration: 135 ; CPU: 35.90% ; MEM: 4633.64 
iteration: 136 ; CPU: 36.26% ; MEM: 4633.64 
iteration: 137 ; CPU: 36.59% ; MEM: 4635.44 
iteration: 138 ; CPU: 33.57% ; MEM: 4640.85 
iteration: 139 ; CPU: 33.90% ; MEM: 4644.21 
iteration: 140 ; CPU: 34.23% ; MEM: 4727.26 
iteration: 141 ; CPU: 34.62% ; MEM: 4808.42 
iteration: 142 ; CPU: 34.94% ; MEM: 4812.18 
iteration: 143 ; CPU: 35.23% ; MEM: 4817.67 
iteration: 144 ; CPU: 56.10% ; MEM: 4820.56 
iteration: 145 ; CPU: 57.42% ; MEM: 4853.45 
iteration: 146 ; CPU: 33.25% ; MEM: 4696.01 
iteration: 147 ; CPU: 33.53% ; MEM: 4722.14 
iteration: 148 ; CPU: 33.80% ; MEM: 4746.89 
iteration: 149 ; CPU: 34.09% ; MEM: 4748.66 
iteration: 150 ; CPU: 34.39% ; MEM: 4748.69 
iteration: 151 ; CPU: 37.95% ; MEM: 4707.70 
