ROS Processes Log
iteration: 18 ; CPU: 0% ; MEM: 50.30 
iteration: 19 ; CPU: 0% ; MEM: 35.71 
iteration: 20 ; CPU: 0% ; MEM: 47.50 
iteration: 21 ; CPU: 3.15% ; MEM: 47.54 
iteration: 22 ; CPU: 3.15% ; MEM: 88.30 
iteration: 23 ; CPU: 3.25% ; MEM: 108.00 
iteration: 24 ; CPU: 3.25% ; MEM: 136.17 
iteration: 25 ; CPU: 23.18% ; MEM: 194.81 
iteration: 26 ; CPU: 23.50% ; MEM: 227.09 
iteration: 27 ; CPU: 23.53% ; MEM: 364.97 
iteration: 28 ; CPU: 23.56% ; MEM: 569.76 
iteration: 29 ; CPU: 23.62% ; MEM: 683.14 
iteration: 30 ; CPU: 23.68% ; MEM: 730.73 
iteration: 31 ; CPU: 23.73% ; MEM: 823.45 
iteration: 32 ; CPU: 35.40% ; MEM: 872.42 
iteration: 33 ; CPU: 35.84% ; MEM: 872.51 
iteration: 34 ; CPU: 36.49% ; MEM: 879.80 
iteration: 35 ; CPU: 37.09% ; MEM: 920.55 
iteration: 36 ; CPU: 37.52% ; MEM: 920.55 
iteration: 37 ; CPU: 37.85% ; MEM: 921.17 
iteration: 38 ; CPU: 38.31% ; MEM: 947.22 
iteration: 39 ; CPU: 38.88% ; MEM: 989.34 
iteration: 40 ; CPU: 39.41% ; MEM: 1064.20 
iteration: 41 ; CPU: 42.50% ; MEM: 1215.30 
iteration: 42 ; CPU: 43.00% ; MEM: 1299.25 
iteration: 43 ; CPU: 43.26% ; MEM: 1373.20 
iteration: 44 ; CPU: 43.32% ; MEM: 1408.37 
iteration: 45 ; CPU: 43.48% ; MEM: 1444.99 
iteration: 46 ; CPU: 43.66% ; MEM: 1567.36 
iteration: 47 ; CPU: 77.87% ; MEM: 1695.63 
iteration: 48 ; CPU: 79.05% ; MEM: 1754.68 
iteration: 49 ; CPU: 79.66% ; MEM: 1815.95 
iteration: 50 ; CPU: 80.46% ; MEM: 1899.58 
iteration: 51 ; CPU: 81.21% ; MEM: 1953.50 
iteration: 52 ; CPU: 82.28% ; MEM: 2038.06 
iteration: 53 ; CPU: 70.26% ; MEM: 1994.60 
iteration: 54 ; CPU: 42.75% ; MEM: 2000.08 
iteration: 55 ; CPU: 43.72% ; MEM: 2087.79 
iteration: 56 ; CPU: 32.39% ; MEM: 1972.28 
iteration: 57 ; CPU: 32.60% ; MEM: 1965.01 
iteration: 58 ; CPU: 32.82% ; MEM: 2022.62 
iteration: 59 ; CPU: 33.05% ; MEM: 2085.08 
iteration: 60 ; CPU: 33.26% ; MEM: 2078.95 
iteration: 61 ; CPU: 33.47% ; MEM: 2135.43 
iteration: 62 ; CPU: 25.76% ; MEM: 2215.21 
iteration: 63 ; CPU: 36.55% ; MEM: 2246.58 
iteration: 64 ; CPU: 37.03% ; MEM: 2319.57 
iteration: 65 ; CPU: 37.45% ; MEM: 2632.97 
iteration: 66 ; CPU: 37.76% ; MEM: 2785.81 
iteration: 67 ; CPU: 38.10% ; MEM: 2968.21 
iteration: 68 ; CPU: 38.47% ; MEM: 3024.51 
iteration: 69 ; CPU: 54.48% ; MEM: 3031.27 
iteration: 70 ; CPU: 55.09% ; MEM: 3034.91 
iteration: 71 ; CPU: 55.50% ; MEM: 3048.30 
iteration: 72 ; CPU: 56.36% ; MEM: 3166.90 
iteration: 73 ; CPU: 56.77% ; MEM: 3214.96 
iteration: 74 ; CPU: 57.21% ; MEM: 3341.21 
iteration: 75 ; CPU: 57.77% ; MEM: 3733.78 
iteration: 76 ; CPU: 80.96% ; MEM: 4033.67 
iteration: 77 ; CPU: 81.64% ; MEM: 4091.12 
iteration: 78 ; CPU: 82.33% ; MEM: 4152.64 
iteration: 79 ; CPU: 83.57% ; MEM: 4369.14 
iteration: 80 ; CPU: 84.06% ; MEM: 4403.03 
iteration: 81 ; CPU: 84.62% ; MEM: 4423.08 
iteration: 82 ; CPU: 85.11% ; MEM: 4423.08 
iteration: 83 ; CPU: 73.89% ; MEM: 4423.92 
iteration: 84 ; CPU: 74.33% ; MEM: 4434.51 
iteration: 85 ; CPU: 74.97% ; MEM: 4449.73 
iteration: 86 ; CPU: 75.53% ; MEM: 4455.84 
iteration: 87 ; CPU: 75.94% ; MEM: 4455.84 
iteration: 88 ; CPU: 76.38% ; MEM: 4459.87 
iteration: 89 ; CPU: 76.70% ; MEM: 4460.46 
iteration: 90 ; CPU: 53.34% ; MEM: 4461.68 
iteration: 91 ; CPU: 53.71% ; MEM: 4477.71 
iteration: 92 ; CPU: 54.03% ; MEM: 4504.07 
iteration: 93 ; CPU: 54.42% ; MEM: 4507.61 
iteration: 94 ; CPU: 55.03% ; MEM: 4518.85 
iteration: 95 ; CPU: 55.49% ; MEM: 4518.85 
iteration: 96 ; CPU: 56.17% ; MEM: 4532.45 
iteration: 97 ; CPU: 44.92% ; MEM: 4534.26 
iteration: 98 ; CPU: 45.43% ; MEM: 4540.38 
iteration: 99 ; CPU: 45.91% ; MEM: 4545.54 
iteration: 100 ; CPU: 46.50% ; MEM: 4556.87 
iteration: 101 ; CPU: 47.15% ; MEM: 4563.51 
iteration: 102 ; CPU: 47.92% ; MEM: 4566.45 
iteration: 103 ; CPU: 48.55% ; MEM: 4573.17 
iteration: 104 ; CPU: 41.11% ; MEM: 4573.27 
iteration: 105 ; CPU: 41.65% ; MEM: 4575.53 
iteration: 106 ; CPU: 42.19% ; MEM: 4583.00 
iteration: 107 ; CPU: 42.77% ; MEM: 4585.60 
iteration: 108 ; CPU: 43.26% ; MEM: 4617.97 
iteration: 109 ; CPU: 43.79% ; MEM: 4627.36 
iteration: 110 ; CPU: 44.34% ; MEM: 4627.95 
iteration: 111 ; CPU: 49.29% ; MEM: 4633.62 
iteration: 112 ; CPU: 50.14% ; MEM: 4637.76 
iteration: 113 ; CPU: 51.00% ; MEM: 4638.30 
iteration: 114 ; CPU: 40.12% ; MEM: 4597.71 
iteration: 115 ; CPU: 40.62% ; MEM: 4695.46 
iteration: 116 ; CPU: 41.35% ; MEM: 4764.48 
iteration: 117 ; CPU: 65.06% ; MEM: 4779.05 
iteration: 118 ; CPU: 66.48% ; MEM: 4780.45 
iteration: 119 ; CPU: 68.26% ; MEM: 4780.63 
iteration: 120 ; CPU: 56.32% ; MEM: 4736.05 
iteration: 121 ; CPU: 50.12% ; MEM: 4706.36 
iteration: 122 ; CPU: 38.98% ; MEM: 4666.76 
iteration: 123 ; CPU: 39.37% ; MEM: 4668.05 
iteration: 124 ; CPU: 45.48% ; MEM: 4668.05 
iteration: 125 ; CPU: 46.26% ; MEM: 4669.36 
iteration: 126 ; CPU: 36.33% ; MEM: 4634.38 
iteration: 127 ; CPU: 36.69% ; MEM: 4669.31 
iteration: 128 ; CPU: 37.10% ; MEM: 4678.37 
iteration: 129 ; CPU: 37.50% ; MEM: 4678.83 
iteration: 130 ; CPU: 37.83% ; MEM: 4679.35 
iteration: 131 ; CPU: 43.67% ; MEM: 4686.06 
iteration: 132 ; CPU: 44.41% ; MEM: 4688.67 
iteration: 133 ; CPU: 35.23% ; MEM: 4648.03 
