Java Processes Log
iteration: 40 ; CPU: 3.90% ; MEM: 130.60 MB
iteration: 41 ; CPU: 10.35% ; MEM: 245.78 MB
iteration: 42 ; CPU: 11.72% ; MEM: 386.45 MB
iteration: 43 ; CPU: 13.55% ; MEM: 487.55 MB
iteration: 44 ; CPU: 12.98% ; MEM: 502.90 MB
iteration: 45 ; CPU: 15.10% ; MEM: 617.07 MB
iteration: 46 ; CPU: 17.22% ; MEM: 739.04 MB
iteration: 47 ; CPU: 17.30% ; MEM: 815.90 MB
iteration: 48 ; CPU: 16.00% ; MEM: 831.64 MB
iteration: 49 ; CPU: 14.30% ; MEM: 845.10 MB
iteration: 50 ; CPU: 11.20% ; MEM: 847.96 MB
iteration: 51 ; CPU: 10.20% ; MEM: 849.16 MB
iteration: 52 ; CPU: 9.53% ; MEM: 849.29 MB
iteration: 53 ; CPU: 9.01% ; MEM: 865.45 MB
iteration: 54 ; CPU: 8.40% ; MEM: 848.55 MB
iteration: 55 ; CPU: 7.82% ; MEM: 853.12 MB
iteration: 56 ; CPU: 7.40% ; MEM: 853.39 MB
iteration: 57 ; CPU: 6.99% ; MEM: 853.55 MB
iteration: 58 ; CPU: 6.65% ; MEM: 854.70 MB
iteration: 59 ; CPU: 6.31% ; MEM: 854.83 MB
iteration: 60 ; CPU: 6.02% ; MEM: 854.92 MB
iteration: 61 ; CPU: 5.78% ; MEM: 854.92 MB
iteration: 62 ; CPU: 5.30% ; MEM: 855.17 MB
iteration: 63 ; CPU: 5.11% ; MEM: 855.27 MB
iteration: 64 ; CPU: 4.97% ; MEM: 846.11 MB
iteration: 65 ; CPU: 4.83% ; MEM: 846.14 MB
iteration: 66 ; CPU: 4.69% ; MEM: 846.14 MB
iteration: 67 ; CPU: 4.57% ; MEM: 846.22 MB
iteration: 68 ; CPU: 4.46% ; MEM: 846.44 MB
iteration: 69 ; CPU: 4.36% ; MEM: 846.44 MB
iteration: 70 ; CPU: 4.28% ; MEM: 846.44 MB
iteration: 71 ; CPU: 4.20% ; MEM: 846.44 MB
iteration: 72 ; CPU: 4.12% ; MEM: 846.61 MB
iteration: 73 ; CPU: 4.05% ; MEM: 846.61 MB
iteration: 74 ; CPU: 3.98% ; MEM: 846.64 MB
iteration: 75 ; CPU: 3.80% ; MEM: 846.64 MB
iteration: 76 ; CPU: 3.75% ; MEM: 846.66 MB
iteration: 77 ; CPU: 3.70% ; MEM: 846.76 MB
iteration: 78 ; CPU: 3.65% ; MEM: 846.76 MB
iteration: 79 ; CPU: 3.60% ; MEM: 846.76 MB
iteration: 80 ; CPU: 3.56% ; MEM: 846.76 MB
iteration: 81 ; CPU: 3.52% ; MEM: 847.01 MB
iteration: 82 ; CPU: 3.49% ; MEM: 847.01 MB
iteration: 83 ; CPU: 3.45% ; MEM: 847.01 MB
iteration: 84 ; CPU: 3.41% ; MEM: 847.01 MB
iteration: 85 ; CPU: 3.38% ; MEM: 847.01 MB
iteration: 86 ; CPU: 3.35% ; MEM: 847.01 MB
iteration: 87 ; CPU: 3.26% ; MEM: 847.01 MB
iteration: 88 ; CPU: 3.23% ; MEM: 847.64 MB
iteration: 89 ; CPU: 3.21% ; MEM: 847.84 MB
iteration: 90 ; CPU: 3.18% ; MEM: 847.84 MB
iteration: 91 ; CPU: 3.16% ; MEM: 847.84 MB
iteration: 92 ; CPU: 3.14% ; MEM: 847.84 MB
iteration: 93 ; CPU: 3.12% ; MEM: 847.90 MB
iteration: 94 ; CPU: 3.10% ; MEM: 847.90 MB
iteration: 95 ; CPU: 3.07% ; MEM: 847.90 MB
iteration: 96 ; CPU: 3.06% ; MEM: 850.81 MB
iteration: 97 ; CPU: 3.05% ; MEM: 856.12 MB
iteration: 98 ; CPU: 3.04% ; MEM: 858.57 MB
iteration: 99 ; CPU: 2.98% ; MEM: 858.92 MB
iteration: 100 ; CPU: 2.96% ; MEM: 859.12 MB
iteration: 101 ; CPU: 2.95% ; MEM: 859.25 MB
iteration: 102 ; CPU: 2.94% ; MEM: 859.59 MB
iteration: 103 ; CPU: 2.92% ; MEM: 860.06 MB
iteration: 104 ; CPU: 2.91% ; MEM: 860.18 MB
iteration: 105 ; CPU: 2.90% ; MEM: 854.28 MB
iteration: 106 ; CPU: 2.89% ; MEM: 854.47 MB
iteration: 107 ; CPU: 2.87% ; MEM: 854.47 MB
iteration: 108 ; CPU: 2.86% ; MEM: 854.49 MB
iteration: 109 ; CPU: 2.85% ; MEM: 855.08 MB
iteration: 110 ; CPU: 2.84% ; MEM: 855.23 MB
iteration: 111 ; CPU: 2.83% ; MEM: 1027.46 MB
iteration: 112 ; CPU: 2.78% ; MEM: 1476.00 MB
iteration: 113 ; CPU: 2.77% ; MEM: 1476.52 MB
iteration: 114 ; CPU: 2.76% ; MEM: 1479.87 MB
iteration: 115 ; CPU: 2.75% ; MEM: 1481.89 MB
iteration: 116 ; CPU: 2.75% ; MEM: 1482.58 MB
iteration: 117 ; CPU: 2.74% ; MEM: 1482.75 MB
iteration: 118 ; CPU: 2.73% ; MEM: 1482.83 MB
iteration: 119 ; CPU: 2.72% ; MEM: 1483.21 MB
iteration: 120 ; CPU: 2.71% ; MEM: 1483.25 MB
iteration: 121 ; CPU: 2.70% ; MEM: 1483.35 MB
iteration: 122 ; CPU: 2.70% ; MEM: 1483.37 MB
iteration: 123 ; CPU: 2.69% ; MEM: 1483.44 MB
iteration: 124 ; CPU: 2.65% ; MEM: 1483.70 MB
iteration: 125 ; CPU: 2.64% ; MEM: 1483.70 MB
iteration: 126 ; CPU: 2.64% ; MEM: 1490.14 MB
iteration: 127 ; CPU: 2.63% ; MEM: 1490.27 MB
iteration: 128 ; CPU: 2.62% ; MEM: 1490.27 MB
iteration: 129 ; CPU: 2.62% ; MEM: 1490.39 MB
iteration: 130 ; CPU: 2.61% ; MEM: 1490.53 MB
