ROS Processes Log
iteration: 3 ; CPU: .31% ; MEM: 29.54 MB
iteration: 4 ; CPU: 5.04% ; MEM: 88.14 MB
iteration: 5 ; CPU: 3.69% ; MEM: 156.35 MB
iteration: 6 ; CPU: 39.81% ; MEM: 869.87 MB
iteration: 7 ; CPU: 23.04% ; MEM: 1068.77 MB
iteration: 8 ; CPU: 70.35% ; MEM: 2134.69 MB
iteration: 9 ; CPU: 54.80% ; MEM: 2290.83 MB
iteration: 10 ; CPU: 38.48% ; MEM: 2609.44 MB
iteration: 11 ; CPU: 41.68% ; MEM: 3228.99 MB
iteration: 12 ; CPU: 83.71% ; MEM: 4353.33 MB
iteration: 13 ; CPU: 75.28% ; MEM: 4982.06 MB
iteration: 14 ; CPU: 85.24% ; MEM: 5870.59 MB
iteration: 15 ; CPU: 92.80% ; MEM: 6370.85 MB
iteration: 16 ; CPU: 100.00% ; MEM: 7423.27 MB
iteration: 17 ; CPU: 90.16% ; MEM: 7835.46 MB
iteration: 18 ; CPU: 80.25% ; MEM: 8020.77 MB
iteration: 19 ; CPU: 81.45% ; MEM: 8073.33 MB
iteration: 20 ; CPU: 73.07% ; MEM: 8160.67 MB
iteration: 21 ; CPU: 70.28% ; MEM: 8300.58 MB
iteration: 22 ; CPU: 68.22% ; MEM: 8389.10 MB
iteration: 23 ; CPU: 67.17% ; MEM: 8372.96 MB
iteration: 24 ; CPU: 66.69% ; MEM: 8351.44 MB
iteration: 25 ; CPU: 65.80% ; MEM: 8479.98 MB
iteration: 26 ; CPU: 61.69% ; MEM: 8422.64 MB
iteration: 27 ; CPU: 61.96% ; MEM: 8473.48 MB
iteration: 28 ; CPU: 62.35% ; MEM: 8517.78 MB
iteration: 29 ; CPU: 62.73% ; MEM: 8540.61 MB
iteration: 30 ; CPU: 63.12% ; MEM: 8554.84 MB
iteration: 31 ; CPU: 63.21% ; MEM: 8614.08 MB
iteration: 32 ; CPU: 82.47% ; MEM: 8566.89 MB
iteration: 33 ; CPU: 76.15% ; MEM: 8370.32 MB
iteration: 34 ; CPU: 70.27% ; MEM: 8216.56 MB
iteration: 35 ; CPU: 58.29% ; MEM: 7947.17 MB
iteration: 36 ; CPU: 57.45% ; MEM: 7692.08 MB
iteration: 37 ; CPU: 57.53% ; MEM: 7648.31 MB
iteration: 38 ; CPU: 56.02% ; MEM: 7649.03 MB
iteration: 39 ; CPU: 56.46% ; MEM: 7649.03 MB
iteration: 40 ; CPU: 56.86% ; MEM: 7649.03 MB
iteration: 41 ; CPU: 57.34% ; MEM: 7649.03 MB
iteration: 42 ; CPU: 57.68% ; MEM: 7649.03 MB
iteration: 43 ; CPU: 58.00% ; MEM: 7649.29 MB
iteration: 44 ; CPU: 58.33% ; MEM: 7649.55 MB
iteration: 45 ; CPU: 62.31% ; MEM: 7750.20 MB
iteration: 46 ; CPU: 66.52% ; MEM: 7891.00 MB
iteration: 47 ; CPU: 68.56% ; MEM: 7973.06 MB
iteration: 48 ; CPU: 68.60% ; MEM: 7989.81 MB
iteration: 49 ; CPU: 68.13% ; MEM: 8011.49 MB
iteration: 50 ; CPU: 65.08% ; MEM: 8034.24 MB
iteration: 51 ; CPU: 64.94% ; MEM: 8042.55 MB
iteration: 52 ; CPU: 64.95% ; MEM: 8042.80 MB
iteration: 53 ; CPU: 65.18% ; MEM: 8059.09 MB
iteration: 54 ; CPU: 65.15% ; MEM: 8043.23 MB
iteration: 55 ; CPU: 65.25% ; MEM: 8047.80 MB
iteration: 56 ; CPU: 65.32% ; MEM: 8048.07 MB
iteration: 57 ; CPU: 65.46% ; MEM: 8048.50 MB
iteration: 58 ; CPU: 65.55% ; MEM: 8049.66 MB
iteration: 59 ; CPU: 65.72% ; MEM: 8050.04 MB
iteration: 60 ; CPU: 65.90% ; MEM: 8050.00 MB
iteration: 61 ; CPU: 66.04% ; MEM: 8050.00 MB
iteration: 62 ; CPU: 66.18% ; MEM: 8050.25 MB
