Java Processes Log
iteration: 39 ; CPU: 0% ; MEM: 140.36 MB
iteration: 40 ; CPU: 14.12% ; MEM: 359.04 MB
iteration: 41 ; CPU: 14.48% ; MEM: 469.17 MB
iteration: 42 ; CPU: 13.07% ; MEM: 586.81 MB
iteration: 43 ; CPU: 21.70% ; MEM: 746.58 MB
iteration: 44 ; CPU: 17.22% ; MEM: 799.24 MB
iteration: 45 ; CPU: 13.83% ; MEM: 820.10 MB
iteration: 46 ; CPU: 11.81% ; MEM: 838.00 MB
iteration: 47 ; CPU: 10.17% ; MEM: 834.16 MB
iteration: 48 ; CPU: 9.03% ; MEM: 844.24 MB
iteration: 49 ; CPU: 8.18% ; MEM: 846.64 MB
iteration: 50 ; CPU: 7.40% ; MEM: 846.90 MB
iteration: 51 ; CPU: 6.80% ; MEM: 855.28 MB
iteration: 52 ; CPU: 5.77% ; MEM: 855.28 MB
iteration: 53 ; CPU: 5.41% ; MEM: 855.54 MB
iteration: 54 ; CPU: 5.09% ; MEM: 856.18 MB
iteration: 55 ; CPU: 4.81% ; MEM: 856.27 MB
iteration: 56 ; CPU: 4.57% ; MEM: 858.07 MB
iteration: 57 ; CPU: 4.36% ; MEM: 845.53 MB
iteration: 58 ; CPU: 4.18% ; MEM: 845.53 MB
iteration: 59 ; CPU: 4.01% ; MEM: 845.74 MB
iteration: 60 ; CPU: 3.86% ; MEM: 845.74 MB
iteration: 61 ; CPU: 3.73% ; MEM: 845.74 MB
iteration: 62 ; CPU: 3.62% ; MEM: 845.74 MB
iteration: 63 ; CPU: 3.51% ; MEM: 845.78 MB
iteration: 64 ; CPU: 3.40% ; MEM: 845.97 MB
iteration: 65 ; CPU: 3.31% ; MEM: 846.02 MB
iteration: 66 ; CPU: 3.23% ; MEM: 846.37 MB
iteration: 67 ; CPU: 3.15% ; MEM: 846.37 MB
iteration: 68 ; CPU: 3.08% ; MEM: 846.62 MB
iteration: 69 ; CPU: 3.01% ; MEM: 846.62 MB
iteration: 70 ; CPU: 2.94% ; MEM: 846.68 MB
iteration: 71 ; CPU: 2.88% ; MEM: 846.68 MB
iteration: 72 ; CPU: 2.82% ; MEM: 846.74 MB
iteration: 73 ; CPU: 2.77% ; MEM: 846.74 MB
iteration: 74 ; CPU: 2.64% ; MEM: 846.74 MB
iteration: 75 ; CPU: 2.60% ; MEM: 846.74 MB
iteration: 76 ; CPU: 2.55% ; MEM: 846.74 MB
iteration: 77 ; CPU: 2.51% ; MEM: 846.74 MB
iteration: 78 ; CPU: 2.46% ; MEM: 846.74 MB
iteration: 79 ; CPU: 2.42% ; MEM: 846.75 MB
iteration: 80 ; CPU: 2.39% ; MEM: 846.75 MB
iteration: 81 ; CPU: 2.36% ; MEM: 846.75 MB
iteration: 82 ; CPU: 2.32% ; MEM: 846.77 MB
iteration: 83 ; CPU: 2.30% ; MEM: 846.77 MB
iteration: 84 ; CPU: 2.27% ; MEM: 846.77 MB
iteration: 85 ; CPU: 2.24% ; MEM: 846.77 MB
iteration: 86 ; CPU: 2.21% ; MEM: 847.00 MB
iteration: 87 ; CPU: 2.19% ; MEM: 847.00 MB
iteration: 88 ; CPU: 2.16% ; MEM: 847.00 MB
iteration: 89 ; CPU: 2.14% ; MEM: 847.12 MB
iteration: 90 ; CPU: 2.12% ; MEM: 847.12 MB
iteration: 91 ; CPU: 2.10% ; MEM: 847.12 MB
iteration: 92 ; CPU: 2.07% ; MEM: 847.12 MB
iteration: 93 ; CPU: 2.05% ; MEM: 847.12 MB
iteration: 94 ; CPU: 2.03% ; MEM: 847.12 MB
iteration: 95 ; CPU: 1.98% ; MEM: 847.12 MB
iteration: 96 ; CPU: 1.96% ; MEM: 847.12 MB
iteration: 97 ; CPU: 1.94% ; MEM: 847.12 MB
iteration: 98 ; CPU: 1.92% ; MEM: 847.12 MB
iteration: 99 ; CPU: 1.90% ; MEM: 847.33 MB
iteration: 100 ; CPU: 1.89% ; MEM: 847.33 MB
iteration: 101 ; CPU: 1.87% ; MEM: 847.43 MB
iteration: 102 ; CPU: 1.85% ; MEM: 847.43 MB
iteration: 103 ; CPU: 1.84% ; MEM: 847.43 MB
iteration: 104 ; CPU: 1.83% ; MEM: 847.43 MB
iteration: 105 ; CPU: 1.82% ; MEM: 847.43 MB
iteration: 106 ; CPU: 1.81% ; MEM: 847.43 MB
iteration: 107 ; CPU: 1.80% ; MEM: 847.44 MB
iteration: 108 ; CPU: 1.78% ; MEM: 847.58 MB
iteration: 109 ; CPU: 1.77% ; MEM: 847.58 MB
iteration: 110 ; CPU: 1.76% ; MEM: 847.58 MB
iteration: 111 ; CPU: 1.75% ; MEM: 847.58 MB
iteration: 112 ; CPU: 1.74% ; MEM: 847.58 MB
iteration: 113 ; CPU: 1.73% ; MEM: 847.58 MB
iteration: 114 ; CPU: 1.72% ; MEM: 847.58 MB
iteration: 115 ; CPU: 1.71% ; MEM: 847.58 MB
iteration: 116 ; CPU: 1.70% ; MEM: 847.64 MB
iteration: 117 ; CPU: 1.67% ; MEM: 847.66 MB
iteration: 118 ; CPU: 1.66% ; MEM: 847.81 MB
iteration: 119 ; CPU: 1.65% ; MEM: 847.81 MB
iteration: 120 ; CPU: 1.64% ; MEM: 847.81 MB
iteration: 121 ; CPU: 1.63% ; MEM: 847.86 MB
iteration: 122 ; CPU: 1.62% ; MEM: 847.86 MB
iteration: 123 ; CPU: 1.61% ; MEM: 848.85 MB
iteration: 124 ; CPU: 1.61% ; MEM: 848.98 MB
iteration: 125 ; CPU: 1.60% ; MEM: 849.10 MB
iteration: 126 ; CPU: 1.60% ; MEM: 849.10 MB
iteration: 127 ; CPU: 1.59% ; MEM: 849.10 MB
iteration: 128 ; CPU: 1.58% ; MEM: 849.10 MB
iteration: 129 ; CPU: 1.58% ; MEM: 849.35 MB
iteration: 130 ; CPU: 1.57% ; MEM: 849.35 MB
iteration: 131 ; CPU: 1.56% ; MEM: 850.62 MB
iteration: 132 ; CPU: 1.55% ; MEM: 850.62 MB
iteration: 133 ; CPU: 1.55% ; MEM: 858.85 MB
iteration: 134 ; CPU: 1.55% ; MEM: 859.04 MB
iteration: 135 ; CPU: 1.54% ; MEM: 852.44 MB
iteration: 136 ; CPU: 1.54% ; MEM: 852.44 MB
iteration: 137 ; CPU: 1.53% ; MEM: 852.44 MB
iteration: 138 ; CPU: 1.52% ; MEM: 852.49 MB
