ROS Processes Log
iteration: 3 ; CPU: 0% ; MEM: 5.18 MB
iteration: 4 ; CPU: 3.54% ; MEM: 65.50 MB
iteration: 5 ; CPU: 17.21% ; MEM: 567.74 MB
iteration: 6 ; CPU: 37.40% ; MEM: 919.00 MB
iteration: 7 ; CPU: 43.03% ; MEM: 1258.35 MB
iteration: 8 ; CPU: 53.86% ; MEM: 1806.34 MB
iteration: 9 ; CPU: 43.98% ; MEM: 1999.91 MB
iteration: 10 ; CPU: 24.66% ; MEM: 2287.16 MB
iteration: 11 ; CPU: 52.02% ; MEM: 3299.48 MB
iteration: 12 ; CPU: 74.40% ; MEM: 4133.22 MB
iteration: 13 ; CPU: 79.49% ; MEM: 4446.75 MB
iteration: 14 ; CPU: 56.20% ; MEM: 4497.43 MB
iteration: 15 ; CPU: 47.21% ; MEM: 4527.64 MB
iteration: 16 ; CPU: 41.64% ; MEM: 4597.03 MB
iteration: 17 ; CPU: 38.16% ; MEM: 4693.45 MB
iteration: 18 ; CPU: 35.52% ; MEM: 4674.30 MB
iteration: 19 ; CPU: 33.53% ; MEM: 4648.53 MB
iteration: 20 ; CPU: 32.01% ; MEM: 4745.55 MB
iteration: 21 ; CPU: 42.76% ; MEM: 4723.85 MB
iteration: 22 ; CPU: 30.29% ; MEM: 4653.01 MB
iteration: 23 ; CPU: 29.92% ; MEM: 4664.37 MB
iteration: 24 ; CPU: 29.54% ; MEM: 4676.20 MB
iteration: 25 ; CPU: 29.40% ; MEM: 4688.25 MB
iteration: 26 ; CPU: 27.41% ; MEM: 4724.71 MB
iteration: 27 ; CPU: 27.52% ; MEM: 4733.14 MB
iteration: 28 ; CPU: 27.52% ; MEM: 4744.75 MB
iteration: 29 ; CPU: 34.41% ; MEM: 4713.71 MB
iteration: 30 ; CPU: 26.67% ; MEM: 4574.68 MB
iteration: 31 ; CPU: 36.44% ; MEM: 4424.66 MB
iteration: 32 ; CPU: 35.61% ; MEM: 4336.67 MB
iteration: 33 ; CPU: 24.84% ; MEM: 4291.94 MB
iteration: 34 ; CPU: 25.07% ; MEM: 4291.94 MB
iteration: 35 ; CPU: 25.30% ; MEM: 4291.94 MB
iteration: 36 ; CPU: 25.40% ; MEM: 4291.94 MB
iteration: 37 ; CPU: 25.45% ; MEM: 4291.94 MB
iteration: 38 ; CPU: 25.60% ; MEM: 4291.94 MB
iteration: 39 ; CPU: 25.72% ; MEM: 4291.94 MB
iteration: 40 ; CPU: 25.91% ; MEM: 4291.94 MB
iteration: 41 ; CPU: 26.10% ; MEM: 4291.94 MB
iteration: 42 ; CPU: 26.28% ; MEM: 4353.98 MB
iteration: 43 ; CPU: 38.33% ; MEM: 4537.28 MB
iteration: 44 ; CPU: 35.92% ; MEM: 4604.49 MB
iteration: 45 ; CPU: 34.09% ; MEM: 4626.48 MB
iteration: 46 ; CPU: 33.39% ; MEM: 4655.58 MB
iteration: 47 ; CPU: 32.60% ; MEM: 4652.00 MB
iteration: 48 ; CPU: 32.15% ; MEM: 4662.34 MB
iteration: 49 ; CPU: 31.92% ; MEM: 4664.44 MB
iteration: 50 ; CPU: 31.64% ; MEM: 4664.95 MB
iteration: 51 ; CPU: 31.47% ; MEM: 4673.58 MB
iteration: 52 ; CPU: 30.43% ; MEM: 4676.94 MB
iteration: 53 ; CPU: 30.38% ; MEM: 4680.28 MB
iteration: 54 ; CPU: 30.32% ; MEM: 4681.39 MB
iteration: 55 ; CPU: 30.30% ; MEM: 4681.39 MB
iteration: 56 ; CPU: 30.28% ; MEM: 4683.20 MB
iteration: 57 ; CPU: 30.26% ; MEM: 4670.66 MB
iteration: 58 ; CPU: 30.28% ; MEM: 4670.66 MB
iteration: 59 ; CPU: 30.32% ; MEM: 4670.76 MB
iteration: 60 ; CPU: 30.35% ; MEM: 4670.76 MB
iteration: 61 ; CPU: 30.38% ; MEM: 4671.01 MB
iteration: 62 ; CPU: 30.43% ; MEM: 4671.01 MB
iteration: 63 ; CPU: 30.50% ; MEM: 4671.01 MB
iteration: 64 ; CPU: 30.50% ; MEM: 4671.01 MB
iteration: 65 ; CPU: 30.54% ; MEM: 4671.01 MB
iteration: 66 ; CPU: 30.60% ; MEM: 4671.28 MB
iteration: 67 ; CPU: 30.67% ; MEM: 4671.28 MB
iteration: 68 ; CPU: 30.71% ; MEM: 4680.34 MB
iteration: 69 ; CPU: 30.71% ; MEM: 4680.34 MB
iteration: 70 ; CPU: 30.71% ; MEM: 4680.34 MB
iteration: 71 ; CPU: 30.81% ; MEM: 4680.34 MB
iteration: 72 ; CPU: 30.80% ; MEM: 4680.34 MB
iteration: 73 ; CPU: 30.86% ; MEM: 4680.34 MB
iteration: 74 ; CPU: 30.40% ; MEM: 4680.34 MB
iteration: 75 ; CPU: 30.41% ; MEM: 4680.34 MB
iteration: 76 ; CPU: 30.47% ; MEM: 4680.34 MB
iteration: 77 ; CPU: 30.46% ; MEM: 4680.34 MB
